,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,MILEAGE_KM,MANUFACTURED_YEAR,TRANSMISSION,OMV,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
2345,31,695800.0,60210.0,950.0,2021,0,154991.0,61001.0,3442.0,3982.0,2560.0,1.0,4
2348,31,50000.0,17050.0,120000.0,2013,0,28536.0,74002.0,760.0,1595.0,1485.0,4.0,1
2350,3,58888.0,16120.0,128000.0,2014,0,42187.0,70002.0,790.0,1997.0,1420.0,2.0,1
2356,27,165800.0,20550.0,89000.0,2010,0,105877.0,35416.0,2923.0,4244.0,1880.0,4.0,5
2359,14,96800.0,11990.0,42000.0,2019,0,19955.0,25689.0,2621.0,1597.0,1237.0,2.0,3
2360,37,35800.0,10400.0,112000.0,2014,0,16319.0,68589.0,1157.0,1199.0,1150.0,3.0,0
2361,22,218888.0,25040.0,36409.0,2018,0,71572.0,31101.0,2439.0,1997.0,1983.0,1.0,4
2363,38,338000.0,34060.0,58000.0,2010,0,128115.0,58124.0,3471.0,3800.0,1670.0,2.0,5
2366,14,16888.0,8500.0,158500.0,2009,0,20428.0,12864.0,398.0,1497.0,1150.0,2.0,3
2367,50,197800.0,20150.0,29500.0,2020,0,46056.0,35001.0,3047.0,1969.0,1919.0,1.0,4
2368,34,18500.0,9650.0,105000.0,2008,0,26317.0,15668.0,374.0,1997.0,1450.0,2.0,1
2369,6,53800.0,11170.0,74000.0,2015,0,20529.0,54920.0,1102.0,2384.0,1539.0,1.0,1
2370,42,110800.0,17990.0,65000.0,2016,0,30720.0,48556.0,1891.0,1984.0,1421.0,2.0,5
2372,3,65555.0,15140.0,91354.0,2015,0,26376.0,62101.0,1277.0,1499.0,1360.0,2.0,0
2373,22,116800.0,18730.0,87000.0,2015,0,64897.0,54920.0,1104.0,1999.0,1720.0,2.0,4
2375,31,56800.0,15720.0,88000.0,2013,0,44285.0,78700.0,366.0,1796.0,1505.0,2.0,1
2377,18,196888.0,19390.0,11000.0,2019,0,35980.0,47806.0,3285.0,1997.0,1679.0,1.0,1
2381,31,66800.0,20090.0,131100.0,2014,0,32861.0,73010.0,944.0,1595.0,1425.0,3.0,1
2382,34,103388.0,13190.0,103000.0,2009,0,49935.0,39313.0,2834.0,3696.0,1490.0,4.0,5
2383,32,91000.0,12600.0,95800.0,2018,0,19709.0,31000.0,2345.0,1998.0,1480.0,1.0,4
2385,29,62800.0,10880.0,45000.0,2017,0,15108.0,48401.0,1915.0,1496.0,1310.0,2.0,3
2387,20,69500.0,10400.0,105600.0,2017,0,15242.0,41400.0,1864.0,1591.0,1295.0,1.0,3
2388,14,6500.0,10180.0,158000.0,2007,0,14743.0,21282.0,219.0,1496.0,1160.0,2.0,6
2389,31,76800.0,8390.0,120833.0,2011,0,30295.0,42283.0,3317.0,1597.0,1500.0,3.0,1
2390,48,72800.0,11830.0,73000.0,2017,0,19955.0,53001.0,1915.0,1798.0,1355.0,1.0,2
