,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
93,https://www.sgcarmart.com/used_cars/info.php?ID=1042242&DL=1238,Toyota,9800,12290,19-Dec-2007,180000,2007,1815,Auto,4134,02/03/2022,24702,27173,25925,276,1998,1540,4,MPV
94,https://www.sgcarmart.com/used_cars/info.php?ID=1055977&DL=1034,Mazda,45800,15030,19-Mar-2010,,2008,686,Auto,10117,02/03/2022,27499,27499,16604,1101,1308,1340,6,Sports Car
95,https://www.sgcarmart.com/used_cars/info.php?ID=1059083&DL=3393,Toyota,68888,,23-Dec-2021,,2021,,Auto,33044,02/03/2022,,27487,33671,3555,1998,1680,1,Van
96,https://www.sgcarmart.com/used_cars/info.php?ID=1033442&DL=2976,Mitsubishi,51800,,28-Oct-2016,,2016,,Manual,21720,02/03/2022,,37880,46635,1675,2998,3460,1,Truck
97,https://www.sgcarmart.com/used_cars/info.php?ID=1031241&DL=3761,Isuzu,65888,,19-Apr-2018,54710,2018,,Manual,18154,02/03/2022,,27490,29594,2226,1898,1760,1,Truck
98,https://www.sgcarmart.com/used_cars/info.php?ID=1051464&DL=2541,Honda,4888,,14-May-2007,162000,2007,1467,Auto,1035,02/03/2022,17954,19750,26246,61,1799,1350,6,MPV
99,https://www.sgcarmart.com/used_cars/info.php?ID=1062504&DL=3597,Mercedes-Benz,262888,24270,08-Apr-2021,24363,"
Luxury Sedan ",1202,2020,105432,02/03/2022,,,46790,3320,1991,1990,1,
100,https://www.sgcarmart.com/used_cars/info.php?ID=708011&DL=2927,Rolls-Royce,700000,77780,11-Mar-2011,3100,2011,8804,Auto,41027,02/03/2022,323461,323461,45586,2956,6592,2360,1,Luxury Sedan
101,https://www.sgcarmart.com/used_cars/info.php?ID=1075752&DL=1238,Toyota,65800,9950,30-Jan-2018,34000,2017,682,Auto,34895,02/03/2022,13876,13876,41400,1832,1496,1085,1,Mid-Sized Sedan
102,https://www.sgcarmart.com/used_cars/info.php?ID=1073489&DL=3464,Toyota,54800,7830,09-Mar-2009,,2008,965,Auto,18009,02/03/2022,16167,16167,25727,2226,1598,1195,2,Mid-Sized Sedan
103,https://www.sgcarmart.com/used_cars/info.php?ID=1056083&DL=2563,Honda,70888,,01-Jul-1999,,1999,1110,Manual,,02/03/2022,23594,33032,25525,2564,1595,,,Sports Car
104,https://www.sgcarmart.com/used_cars/info.php?ID=1074665&DL=3004,Mazda,43800,13270,27-Feb-2015,118000,2014,1210,Auto,24884,02/03/2022,18190,8190,66751,764,1998,1438,2,Luxury Sedan
105,https://www.sgcarmart.com/used_cars/info.php?ID=1072810&DL=1000,BMW,96000,10860,18-Mar-2011,,2011,1976,Auto,35984,02/03/2022,47773,47773,40714,3199,2497,1650,1,Luxury Sedan
106,https://www.sgcarmart.com/used_cars/info.php?ID=1058812&DL=2387,Ferrari,650000,64950,08-Sep-2012,45000,2012,4728,Auto,,02/03/2022,341813,341813,,0,4497,1565,3,Sports Car
